"DefNum","Category","ItemOrder","ItemName","ItemValue","ItemColor","IsHidden"
270,35,2,"Endodontics","",0,0
271,35,3,"Pediatric","",0,0
272,35,4,"Perio","",0,0
273,35,5,"Prosth","",0,0
274,35,6,"Ortho","",0,0
275,35,7,"Denturist","",0,0
276,35,8,"Surgery","",0,0
277,35,9,"Assistant","",0,0
278,35,10,"LabTech","",0,0
279,35,11,"Pathology","",0,0
280,35,12,"PublicHealth","",0,0
281,35,13,"Radiology","",0,0
282,0,10,"Broken Appointment Procedure","",-16777031,0
283,36,0,"Default","",0,0
287,38,1,"See Notes","",0,0
286,38,0,"Attempted","",0,0
288,29,0,"Prepayment","",0,0
289,0,11,"Canceled Appointment Procedure","",-16777031,0
290,33,1,"Reminder","R",-9031,0
291,40,0,"Default","",0,1
292,21,9,"Family Module ICE","",-70679,0
293,21,10,"Family Module Pat Restrictions","",-70679,0
294,2,13,"eConfirmSent","eConfirmSent",-256,0
295,2,14,"eConfirmCallBack","eConfirmCallBack",-32768,0
296,2,15,"eConfirmFailure","eConfirmFailure",-65536,0
297,1,1,"Sales Tax","+",0,0
298,13,11,"Texted","",0,0
299,13,12,"Texted/Emailed","",0,0
300,11,15,"Never Used","",0,0
301,11,12,"Anesthesia","",0,0
302,2,5,"CheckOut","ChkOut",-16777135,0
303,32,2,"CC","N",0,0
304,20,14,"11","",-16777216,0
305,20,15,"12","",-16777216,0
306,20,16,"13","",-16777216,0
307,20,17,"14","",-16777216,0
308,20,18,"15","",-16777216,0
309,20,19,"16","",-16777216,0
310,20,20,"17","",-16777216,0
311,20,21,"18","",-16777216,0
312,20,22,"19","",-16777216,0
313,20,23,"20","",-16777216,0
314,31,0,"Called","0",0,0
315,1,20,"Conv Adjustment","+",0,1
316,1,21,"Pending Claim","+",0,0
317,1,22,"Received Claim","+",0,0
318,1,20,"-Professional Discount","-",0,0
319,1,21,"-Cash Discount","-",0,0
320,1,22,"-Credit Adjustment","-",0,0
321,1,23,"+Debit Adjustment","+",0,0
322,1,24,"+Patient Refund","+",0,0
323,1,25,"-Write-Off/bad debt","-",0,0
324,1,26,"-Sr. Discount","-",0,0
325,1,27,"-Insurance Contract","-",0,0
326,1,28,"-Posting Error","-",0,0
327,1,29,"+Posting Error","+",0,0
328,1,30,"-Wrong Account","-",0,0
329,1,31,"+Wrong Account","+",0,0
330,1,32,"-Cash Discount","-",0,0
331,1,33,"-Courtsey Discount","-",0,0
332,1,34,"-HELP CARD","-",0,0
333,1,35,"+HELP CARD","+",0,0
334,1,36,"-Old Account Credit","-",0,0
335,1,37,"+Collection Costs","+",0,0
336,1,38,"+Insurance Refund","+",0,0
337,1,39,"+NSF Check","+",0,0
338,1,40,"+Service charge","+",0,0
339,1,41,"+Care Credit refund","+",0,0
340,1,42,"-Professional Discount","-",0,0
341,10,4,"Conv Payment","",0,1
342,10,5,"Conv Ins Payment","",0,1
343,10,6,"Check Pymnt, mail - Thank You","",0,0
344,10,7,"Cash Payment - Thank You","",0,0
345,10,8,"Credit Card Payment -Thank You","",0,0
346,10,9,"Insurance ck","",0,0
347,10,10,"Check Pymnt office - Thank You","",0,0
348,10,11,"Care Credit","",0,0
349,10,13,"Insurance credit card","",0,0
350,10,14,"Care Credit Payment- Thank You","",0,0
351,10,15,"Text to pay","",0,0
352,4,3,"Standard Billing - finance charges","",0,0
353,4,4,"Standard Billing - no finance charges","",0,0
354,4,5,"Insurance Family - delay finance charges","",0,0
355,4,6,"Insurance Family - finance charges","",0,0
356,4,7,"Payment Plan - finance charges","",0,0
357,4,8,"Payment Plan - no finance charges","",0,0
358,4,9,"No Statement and No Finance Charges","",0,0
359,4,10,"Bad Debt - at risk","",0,0
360,4,11,"Bad Debt - to collections","",0,0
361,2,11,"LM","LMHR",0,0
362,2,12,"Appointment Confirmed","CONF",0,0
363,2,13,"TEXT SENT","T-CONF",0,0
364,2,14,"LEFT MESS WITH WORK","LMWR",0,0
365,2,15,"CALL DAY BEFORE","CDB",0,0
366,2,16,"E-MAIL CONF 2 WEEKS","E-CONF",0,0
367,2,17,"Pt Here","Here",0,0
368,2,18,"E-mail Message","E-mail",0,0
369,2,19,"Missed Appointment","MISSED",0,0
370,2,20,"Text Mesage","TX",0,0
371,25,2,"Conv Blockout","",-128,0
372,26,5,"Dentrix","",0,0
373,2,21,"<None>","None",0,0
374,3,19,"xx2sA","D2150,D2150",0,0
375,3,20,"xx2sC","D2386",0,0
376,3,21,"xx3sA","D2160",0,0
377,3,22,"xx3sC","D2387",0,0
378,3,23,"xx6mc","D0150,D0120,D1110,D0274",0,0
379,3,24,"xxBRG","D0120,D6750,D6240",0,0
380,3,25,"xxbw6","D0230,D0230,D1201,D0230,D0230,D0274,D0230,D0230",0,0
381,3,26,"xxCBS","D9997,D0150,D2950,D2740",0,0
382,3,27,"xxCCA","D0120,D1110,D0274,D0150",0,0
383,3,28,"xxCCC","D1110,D0460,D0210,xxCCA,D0415,D0425",0,0
384,3,29,"xxCCP","D0150,D1120,D0120,D0272",0,0
385,3,30,"xxnpe","D0120,D0150,D0210",0,0
386,3,31,"xxnph","D0150,D0150,D1110,D0210",0,0
387,3,32,"xxPex","D1120,D4341,D0210,D0150,D4341,D4341,D4341",0,0
388,3,33,"xxRCC","D0120,D2792,D3310",0,0
389,3,34,"xxSTM","D98999",0,0
390,13,13,"Emailed Postcard","Email",0,0
391,2,22,"Created from Web Sched","WebSched",0,0
393,27,5,"ODHQ","ODHQ",0,0
394,42,0,"New Patient General","",0,0
395,38,2,"ServiceError","SE",0,0
396,29,1,"Treat Plan Prepayment","X",0,0
398,27,6,"FHIR","FHIR",0,0
