"CodeNum","ProcCode","Descript","AbbrDesc","ProcTime","ProcCat","TreatArea","NoBillIns","IsProsth","DefaultNote","IsHygiene","GTypeNum","AlternateCode1","MedicalCode","IsTaxed","PaintType","GraphicColor","LaymanTerm","IsCanadianLab","PreExisting","BaseUnits","SubstitutionCode","SubstOnlyIf","DateTStamp","IsMultiVisit","DrugNDC","RevenueCodeDefault","ProvNumDefault","CanadaTimeUnits","IsRadiology","DefaultClaimNote","DefaultTPNote","BypassGlobalLock","TaxCode"
11,"tmp11","Extraoral 2D project DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Extra2D","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
12,"tmp12","Extraoral-each addit DESCRIPTION NOT INCLUDED IN TEST CONVERSION","ExtraorX+","/X/",260,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
13,"tmp13","Bitewing Single Imag DESCRIPTION NOT INCLUDED IN TEST CONVERSION","1BW","/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
14,"tmp14","Bitewing Two Image DESCRIPTION NOT INCLUDED IN TEST CONVERSION","2BW","/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
15,"tmp15","Bitewing Four Image DESCRIPTION NOT INCLUDED IN TEST CONVERSION","4BW","//",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
16,"tmp16","Vertical Bitewing 7  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","VertBWX","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
17,"tmp17","Skull &facial bone i DESCRIPTION NOT INCLUDED IN TEST CONVERSION","SurvXray","/X/",260,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
18,"tmp18","Sialography DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Sialo","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
19,"tmp19","TMJ arthrogram, incl DESCRIPTION NOT INCLUDED IN TEST CONVERSION","TMJarthro","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
20,"tmp20","Other TMJ Images DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OtherTMJ","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
21,"tmp21","Panoramic Image DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Pano","//",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
22,"tmp22","2D cephalometric ima DESCRIPTION NOT INCLUDED IN TEST CONVERSION","2DCephalo","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
833,"tmp833","Resin-1 surface, pos DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Res1PosPm","",75,1,0,0,"",0,0,"","",0,6,0,"",0,0,0,"",0,"2020-12-22 11:22:41",0,"","",0,0.0,0,"","",0,""
23,"tmp23","2D Oral/Facial Photo DESCRIPTION NOT INCLUDED IN TEST CONVERSION","2DOrlImgs","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
806,"tmp806","Prem. loss, primary  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","PLosPr","",250,3,1,0,"",0,0,"","",0,0,0,"",0,0,0,"",0,"2020-12-22 11:22:41",0,"","",0,0.0,0,"","",0,""
24,"tmp24","Collection of microo DESCRIPTION NOT INCLUDED IN TEST CONVERSION","BactStud","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
25,"tmp25","Caries susceptibilit DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CarisTest","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
26,"tmp26","Pulp vitality tests DESCRIPTION NOT INCLUDED IN TEST CONVERSION","PulpVitTe","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
27,"tmp27","Diagnostic casts DESCRIPTION NOT INCLUDED IN TEST CONVERSION","DiagCasts","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
28,"tmp28","Accession of tissue, DESCRIPTION NOT INCLUDED IN TEST CONVERSION","AcTisExam","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
29,"tmp29","Access of tiss,gr&mi DESCRIPTION NOT INCLUDED IN TEST CONVERSION","AcTisGrEx","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
805,"tmp805","Prem. loss, pri toot DESCRIPTION NOT INCLUDED IN TEST CONVERSION","PLosPr>yr","",250,3,1,0,"",0,0,"","",0,0,0,"",0,0,0,"",0,"2020-12-22 11:22:41",0,"","",0,0.0,0,"","",0,""
30,"tmp30","Acc of tiss,exam,sur DESCRIPTION NOT INCLUDED IN TEST CONVERSION","AcTisDsEx","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
804,"tmp804","Missing tooth DESCRIPTION NOT INCLUDED IN TEST CONVERSION","MissTh","",250,3,1,0,"",0,0,"","",0,0,0,"",0,0,0,"",0,"2020-12-22 11:22:41",0,"","",0,0.0,0,"","",0,""
31,"tmp31","Cytologic smears, ex DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CytoSmrs","/X/",74,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
803,"tmp803","Missing tooth, more  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","MissTh>yr","",250,3,1,0,"",0,0,"","",0,0,0,"",0,0,0,"",0,"2020-12-22 11:22:41",0,"","",0,0.0,0,"","",0,""
32,"tmp32","Other oral path proc DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OthPath","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
33,"tmp33","Unspecified diag pro DESCRIPTION NOT INCLUDED IN TEST CONVERSION","UnspDiag","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
34,"tmp34","Prophylaxis-adult DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Prophy","/XX/",74,3,0,0,"",1,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
35,"tmp35","Prophylaxis-child DESCRIPTION NOT INCLUDED IN TEST CONVERSION","ProCh","/X/",74,3,0,0,"",1,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
36,"tmp36","Child Pro/with Fluor DESCRIPTION NOT INCLUDED IN TEST CONVERSION","ProphFlCh","/X/",74,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
37,"tmp37","Fluoride-child DESCRIPTION NOT INCLUDED IN TEST CONVERSION","FloChild","/",260,3,0,0,"",1,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
38,"tmp38","Fluoride DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Flo","/",260,3,0,0,"",1,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
832,"tmp832","3 SURFACE POST PRIM DESCRIPTION NOT INCLUDED IN TEST CONVERSION","","",75,1,0,0,"",0,0,"","",0,6,0,"",0,0,0,"",0,"2020-12-22 11:22:41",0,"","",0,0.0,0,"","",0,""
39,"tmp39","Prophylaxis with flu DESCRIPTION NOT INCLUDED IN TEST CONVERSION","ProFl","/X/",74,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
40,"tmp40","Nutritional counseli DESCRIPTION NOT INCLUDED IN TEST CONVERSION","NutriCnsl","/X/",74,3,0,0,"",1,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
41,"tmp41","Tobacco counseling DESCRIPTION NOT INCLUDED IN TEST CONVERSION","TobacCnsl","/X/",74,3,0,0,"",1,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
42,"tmp42","Oral hygiene instruc DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OralHygIn","/X/",74,3,0,0,"",1,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
43,"tmp43","Sealant-per tooth DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Sealant","/X/",75,2,0,0,"",0,11,"","",0,13,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
44,"tmp44","Space maint-fixed-un DESCRIPTION NOT INCLUDED IN TEST CONVERSION","SpMFixUni","/XX/",83,2,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
45,"tmp45","Space maint-fixed-bi DESCRIPTION NOT INCLUDED IN TEST CONVERSION","SpMFixBil","/XX/",83,2,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
46,"tmp46","Space maint-remov-un DESCRIPTION NOT INCLUDED IN TEST CONVERSION","SpMRemUni","/X/",83,2,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
47,"tmp47","Space maint-remov-bi DESCRIPTION NOT INCLUDED IN TEST CONVERSION","SpMRemBil","/X/",83,2,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
48,"tmp48","Re-cement/bnd space  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","RecmtBnd","/X/",83,2,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
49,"tmp49","Amalgam-1 surf. prim DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Amalg1Per","/X/",75,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
50,"tmp50","Amalgam-2 surf. prim DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Amalg2Per","/XX/",75,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
51,"tmp51","Amalgam-3 surf. prim DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Amalg3Per","/XXX/",75,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
52,"tmp52","Amalgam-4+ surf. pri DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Amalg4Per","/XXXX/",75,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
53,"tmp53","Resin-one surface, a DESCRIPTION NOT INCLUDED IN TEST CONVERSION","fill","/X/",75,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
54,"tmp54","Resin-two surfaces,  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Fill#","/XX/",75,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
55,"tmp55","Resin-three surfaces DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Fill#-","/XXX/",75,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
56,"tmp56","Resin-4+ w/incis ang DESCRIPTION NOT INCLUDED IN TEST CONVERSION","RFill","/XXXX/",75,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
57,"tmp57","Resin composite crow DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrnResAnt","/X/",75,3,0,0,"",0,7,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
58,"tmp58","Resin composite-1s,  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","C1(P)","/X/",75,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"D2140",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
59,"tmp59","Resin composite-2s,  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","fill-","/XX/",75,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"D2150",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
60,"tmp60","Resin composite-3s,  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","fill##","/XXX/",75,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"D2160",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
61,"tmp61","Resin composite-4+s, DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Fill#--","/XXXX/",75,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"D2161",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
62,"tmp62","Gold foil-one surfac DESCRIPTION NOT INCLUDED IN TEST CONVERSION","GoldFoil1","/X/",75,1,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
63,"tmp63","Gold foil-two surfac DESCRIPTION NOT INCLUDED IN TEST CONVERSION","GoldFoil2","/X/",75,1,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
64,"tmp64","Gold foil-three surf DESCRIPTION NOT INCLUDED IN TEST CONVERSION","GoldFoil3","/X/",75,1,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
65,"tmp65","Inlay-metallic-one s DESCRIPTION NOT INCLUDED IN TEST CONVERSION","InlayMet1","/X/",81,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
66,"tmp66","Inlay-metallic-two s DESCRIPTION NOT INCLUDED IN TEST CONVERSION","InlayMet2","/X/",81,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
67,"tmp67","Inlay-metallic-three DESCRIPTION NOT INCLUDED IN TEST CONVERSION","InlayMet3","/X/",81,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
68,"tmp68","Onlay-metallic-two s DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OnlayMet2","/X/",81,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
69,"tmp69","Onlay-metallic-three DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OnlayMet3","/X/",81,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
70,"tmp70","Onlay-metallic-four  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OnlayMet4","/X/",81,1,0,0,"",0,2,"","",0,5,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
71,"tmp71","Inlay-porcel/ceramic DESCRIPTION NOT INCLUDED IN TEST CONVERSION","InPorc/C1","//XXX/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
72,"tmp72","Inlay-porcel/ceramic DESCRIPTION NOT INCLUDED IN TEST CONVERSION","InPorc/C2","///XXXX/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
73,"tmp73","Inlay-porcel/ceramic DESCRIPTION NOT INCLUDED IN TEST CONVERSION","InPorc/C3","///XXXX/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
74,"tmp74","Onlay-porcel/ceram-2 DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OnPorc/2s","///XXXX/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
75,"tmp75","Onlay-porcel/ceram-3 DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OnPorc/3s","///XXXX/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
76,"tmp76","Onlay-porcel/ceram-4 DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OnPorc/4+","///XXXXX/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
77,"tmp77","Inlay-resin composit DESCRIPTION NOT INCLUDED IN TEST CONVERSION","InComR1Lb","/X/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
78,"tmp78","Inlay-resin composit DESCRIPTION NOT INCLUDED IN TEST CONVERSION","IncomR2Lb","/X/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
79,"tmp79","Inlay-resin composit DESCRIPTION NOT INCLUDED IN TEST CONVERSION","InComR3Lb","/X/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
80,"tmp80","Onlay-resin composit DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OnComR2s","/X/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
81,"tmp81","Onlay-resin composit DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OnComR3s","/X/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
82,"tmp82","Onlay-resin composit DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OnComR4+","/X/",79,1,0,0,"",0,3,"","",0,6,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
83,"tmp83","Indirect Resin-Based DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrnResin","/X/",81,1,0,0,"",0,7,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
84,"tmp84","Crown-resin w/high n DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrwnResHN","/X/",81,2,0,0,"",0,7,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
85,"tmp85","Crown-resin w/ most  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrwnResBm","/X/",81,2,0,0,"",0,7,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
86,"tmp86","Crown-resin with nob DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrwnResNm","/X/",81,2,0,0,"",0,7,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
87,"tmp87","Crown-porcelain/cera DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Prep","/XXXXXXX/",81,2,0,1,"",0,7,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
88,"tmp88","Crown-porc fuse high DESCRIPTION NOT INCLUDED IN TEST CONVERSION","PREP ","/XXXX/////",81,2,0,1,"",0,20,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
89,"tmp89","1Crown-porc fused to DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrwnPrFBm","/XXXX/////",81,2,0,1,"",0,20,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
90,"tmp90","Crown-porc fused nob DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrnPrFNm","/XXXX/////",81,2,0,1,"",0,20,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
91,"tmp91","Crown-3/4 cast high  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Crn3/4HnM","/X/",81,2,0,0,"",0,6,"","",0,7,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
92,"tmp92","Crown-3/4 cast most  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Crn3/4Bm","/X/",81,2,0,0,"",0,6,"","",0,7,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
93,"tmp93","Crown-3/4 cast noble DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Crn3/4Nm","/X/",81,2,0,0,"",0,6,"","",0,7,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
94,"tmp94","Crown-3/4 porcelain/ DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Crn3/4Prc","/X/",81,2,0,0,"",0,7,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
95,"tmp95","Crown-full cast high DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrnFlcHNm","/XXXX/////",81,2,0,1,"",0,6,"","",0,7,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
96,"tmp96","Crown-full cast base DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrnFlcBm","/X/",81,2,0,1,"",0,6,"","",0,7,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
97,"tmp97","Crown-full cast nobl DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CrnFlcNm","/X/",81,2,0,1,"",0,6,"","",0,7,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
98,"tmp98","Provisional crown DESCRIPTION NOT INCLUDED IN TEST CONVERSION","ProvCrwn","/X/",81,2,0,0,"",0,7,"","",0,8,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
99,"tmp99","Recement/bnd inlay/o DESCRIPTION NOT INCLUDED IN TEST CONVERSION","RecmtInly","/XXX/",81,1,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
